variant,total_return,cagr,mdd,ann_vol,sharpe,sortino,exposure,avg_cash,trades,final_value
full,2.4192,0.0634,0.253,0.0942,0.7014,0.8207,0.9972,0.8125,290,34191.54
no-200ma,4.1011,0.0849,0.6481,0.1721,0.5605,0.6148,0.9972,0.7383,251,51010.58
no-ath-buy,1.8094,0.053,0.2213,0.0906,0.6167,0.7005,0.9924,0.8271,234,28093.83
no-prevlow-buy,0.5268,0.0214,0.0974,0.0404,0.5446,0.5611,0.8861,0.9318,108,15268.44
no-takeprofit,6.5382,0.1063,0.4227,0.2188,0.5724,0.6875,0.9972,0.5006,203,75382.08
only-ath,76.1923,0.2428,0.6402,0.3801,0.7643,0.9684,0.9972,0.1254,11,771922.6
only-prevlow,78.1798,0.2444,0.8221,0.432,0.7243,0.9172,0.9924,0.043,11,791798.31
buy-only-no-sell,87.9611,0.2517,0.8313,0.4356,0.7353,0.9375,0.9972,0.0246,11,889610.73
lumpsum,98.5647,0.2588,0.8313,0.4394,0.7456,0.9601,1.0,0.0,1,995646.89
dca100,40.3596,0.2047,0.6296,0.3214,0.742,0.8645,1.0,0.3435,100,413596.11
