variant,cost,total_contributed,final_value,profit,MWRR_annual,MDD,ann_vol,end_cash,n_trades,vs_immediate_pct
immediate,0.0,55800.0,1097738.41,1041938.41,0.334943,0.631838,0.519694,69.36,196,0.0
daily,0.0,55800.0,1089301.47,1033501.47,0.334102,0.6314,0.521948,52.68,2983,-0.77
rule_v1,0.0,55800.0,950134.71,894334.71,0.319238,0.638586,0.511618,211.85,2024,-13.45
v3_regime,0.0,55800.0,419581.88,363781.88,0.230787,0.409332,0.464827,11.06,407,-61.78
v3_dualmom,0.0,55800.0,290928.13,235128.13,0.191035,0.761984,0.583625,54.42,189,-73.5
immediate,0.0005,55800.0,1097202.61,1041402.61,0.33489,0.631842,0.519696,23.11,194,-0.05
daily,0.0005,55800.0,1088514.18,1032714.18,0.334024,0.631417,0.522079,48.67,2980,-0.84
rule_v1,0.0005,55800.0,942607.45,886807.45,0.318375,0.638738,0.511643,223.66,2013,-14.13
v3_regime,0.0005,55800.0,378468.64,322668.64,0.219619,0.410828,0.465059,-164.4,402,-65.52
v3_dualmom,0.0005,55800.0,286068.79,230268.79,0.189199,0.762947,0.583633,1.54,189,-73.94
